A,B,C
145,886,1028
26,420,446
18,120,138
42,50,92
124,833,957
507,769,1307
307,365,672
432,793,1225
648,863,1511
725,463,1176
927,391,1318
400,676,1076
718,718,1436
635,813,1448
390,282,672
895,709,1604
814,946,1760
714,81,795
535,732,1267
745,178,972
793,171,964
41,125,166
536,21,557
7,506,513
278,347,625
679,778,1457
456,515,971
632,97,729
92,843,935
842,686,1528
720,975,1695
2,684,686
445,161,606
13,301,314
289,138,427
929,302,1231
765,503,1268
602,313,915
996,686,1682
457,343,800
459,248,707
463,951,1414
188,704,892
273,846,1119
860,779,1639
654,606,1260
499,81,580
410,977,1387
147,179,326
163,599,762
427,19,446
339,623,962
880,390,1270
840,417,1257
327,325,652
416,789,1205
885,941,1826
611,569,1180
341,844,1234
820,983,1803
850,842,1692
845,570,1415
681,28,709
116,983,1099
562,173,735
218,434,685
530,425,955
786,28,814
379,539,918
307,957,1264
671,335,1006
298,665,963
915,260,1175
365,509,874
57,229,286
881,730,1595
638,718,1356
216,119,334
579,526,1105
942,515,1457
998,327,1325
207,485,692
430,690,1120
706,580,1286
628,912,1540
497,716,1213
832,103,935
618,972,1590
245,331,576
882,411,1293
61,189,220
298,564,862
492,388,880
637,684,1321
937,605,1542
994,848,1842
642,420,1062
87,198,285
11,490,488
84,446,530
620,476,1096
583,970,1553
104,25,129
670,231,901
215,786,1001
976,321,1297
260,959,1219
538,328,866
577,919,1496
928,777,1705
756,4,760
258,142,400
913,328,1241
708,730,1484
436,715,1151
152,853,1005
84,233,317
958,968,1926
28,201,229
953,666,1619
502,15,517
415,74,461
304,624,928
658,614,1272
694,280,974
838,828,1666
514,983,1497
592,182,774
919,283,1202
296,914,1210
704,230,945
521,403,924
191,421,612
732,118,850
637,803,1440
449,827,1268
391,482,873
238,779,1017
850,533,1383
790,142,932
937,416,1353
581,418,999
719,623,1342
911,360,1271
545,966,1511
889,845,1734
247,812,1059
209,647,856
327,691,1018
900,811,1711
637,36,673
849,114,963
743,803,1546
603,119,722
77,758,835
477,199,676
180,249,429
765,832,1597
191,620,811
160,43,203
759,511,1270
876,183,1059
206,508,714
790,476,1266
79,377,456
957,507,1464
815,88,903
961,537,1499
752,374,1126
628,717,1345
697,156,853
317,165,482
431,548,979
983,172,1155
747,789,1510
196,714,910
166,158,324
987,626,1613
207,905,1112
858,674,1532
335,195,530
917,400,1317
645,466,1111
720,800,1520
575,163,738
155,611,813
558,721,1279
328,988,1339
620,451,1071
106,153,259
824,216,1040
644,726,1370
200,172,345
78,913,991
831,763,1594
58,379,437
200,604,804
670,668,1338
105,242,347
727,967,1694
30,228,258
28,526,554
958,661,1619
104,168,272
909,515,1424
390,33,423
184,296,528
893,858,1751
318,95,413
395,17,412
25,486,511
279,73,352
361,195,556
542,799,1341
955,791,1746
704,325,1029
575,543,1118
707,460,1167
701,648,1349
467,598,1065
24,890,914
861,327,1188
210,668,878
556,26,582
243,908,1151
30,228,244
19,908,927
441,644,1085
174,510,684
520,569,1089
755,289,1044
672,610,1294
619,599,1218
620,301,921
884,698,1582
229,6,235
783,82,865
20,258,278
407,675,1082
426,600,1026
570,532,1102
233,979,1212
271,556,827
867,689,1556
607,105,712
351,437,788
549,338,887
783,935,1718
164,306,470
863,567,1430
670,254,924
794,389,1183
926,560,1486
771,751,1522
160,664,824
849,648,1497
921,155,1076
992,272,1264
861,549,1410
835,715,1550
135,84,219
431,477,908
31,721,752
513,6,519
318,772,1090
942,47,989
330,987,1317
424,294,750
924,504,1428
286,119,405
837,184,1021
352,660,1012
938,282,1220
762,175,937
857,356,1213
247,998,1215
687,153,840
190,4,194
332,563,895
345,601,946
160,758,903
126,253,379
699,773,1472
442,660,1102
443,639,1082
294,425,719
43,120,163
818,967,1785
239,796,1035
872,595,1471
542,189,731
497,933,1430
177,823,1000
179,878,1057
720,276,1016
666,846,1561
670,828,1498
492,424,915
58,878,965
606,733,1339
906,951,1857
461,236,697
467,563,1030
74,986,1060
831,685,1516
185,501,686
821,951,1772
87,952,1039
127,299,426
638,365,1003
929,984,1913
736,796,1532
932,800,1732
218,196,414
264,63,327
955,836,1791
252,292,544
936,939,1875
376,603,979
976,638,1614
431,563,994
415,550,965
450,844,1294
793,382,1175
437,84,521
247,666,913
482,923,1405
174,890,1064
829,254,1083
248,2,250
25,39,64
271,10,281
295,465,760
117,275,392
908,968,1876
616,969,1585
55,690,745
834,839,1673
422,151,573
359,796,1155
772,32,804
793,699,1492
271,788,1059
597,538,1135
666,640,1306
586,550,1136
154,8,162
753,984,1737
232,838,1070
683,846,1529
144,962,1106
549,107,656
639,563,1202
86,436,522
537,629,1166
572,24,596
544,356,900
931,656,1587
64,193,257
413,540,953
104,640,744
338,326,664
419,49,468
874,872,1746
537,777,1314
377,540,917
549,253,802
204,82,286
192,840,1032
326,411,737
547,411,958
458,733,1191
810,561,1387
745,449,1194
531,998,1529
806,453,1259
255,846,1101
380,462,842
482,96,578
721,444,1165
197,471,668
592,338,930
333,330,663
260,55,315
331,48,379
540,230,770
152,286,406
951,753,1704
530,448,978
103,353,456
389,458,847
961,845,1806
718,81,799
846,875,1721
953,33,986
271,318,589
760,18,778
316,498,814
449,234,683
17,560,577
499,305,804
827,206,1033
354,80,434
326,611,937
34,993,1027
939,41,980
216,480,725
333,371,704
280,984,1264
999,748,1747
991,7,998
550,593,1143
702,729,1477
20,385,365
784,594,1378
641,85,726
177,93,270
95,946,1041
215,539,754
709,701,1410
190,688,878
199,545,744
82,636,718
548,967,1515
734,629,1358
489,142,631
241,18,217
535,944,1479
531,34,565
436,702,1138
541,94,635
984,972,1956
640,869,1509
843,706,1549
822,471,1293
904,653,1557
372,970,1342
732,309,993
23,160,183
878,901,1779
780,58,838
853,250,1103
368,113,481
355,755,1110
512,11,523
912,29,941
366,802,1168
113,651,764
435,234,669
843,839,1682
248,54,302
741,42,783
334,26,360
573,861,1434
620,830,1450
453,251,704
703,795,1498
930,847,1777
178,758,975
860,863,1723
274,517,791
930,516,1446
810,969,1779
305,234,539
641,857,1498
650,291,941
649,668,1317
104,801,905
997,960,1957
850,160,994
307,282,589
741,434,1132
151,444,595
697,116,813
612,313,925
220,413,633
725,417,1142
820,892,1712
5,507,512
996,281,1277
832,766,1598
260,133,393
447,3,450
972,358,1330
423,627,1050
909,717,1626
761,927,1688
954,619,1573
523,770,1293
626,131,757
154,826,980
271,46,317
259,337,596
382,125,507
2,761,763
488,73,561
870,996,1866
784,334,1118
44,371,415
269,514,783
62,423,485
341,120,461
853,784,1597
424,925,1349
884,511,1395
817,477,1294
152,350,502
74,878,952
474,337,811
984,153,1137
557,361,918
761,735,1496
606,706,1312
981,611,1592
170,475,645
832,180,1012
421,500,921
859,786,1645
603,481,1084
211,505,716
555,375,930
588,420,992
34,176,210
509,998,1507
222,978,1200
114,211,325
662,823,1532
137,204,341
105,590,695
210,694,904
440,76,516
10,848,858
685,362,1047
149,287,436
795,462,1257
278,704,982
626,703,1329
305,159,464
74,941,976
180,16,196
408,741,1149
281,525,806
254,195,449
494,348,842
877,774,1651
752,688,1430
784,567,1351
485,155,640
314,381,695
415,472,887
769,685,1454
69,335,404
644,148,792
712,476,1188
518,238,756
838,251,1041
313,902,1215
419,937,1356
973,417,1390
692,322,1014
70,725,795
167,906,1073
532,879,1411
632,5,637
291,490,781
974,664,1639
320,29,349
366,802,1168
4,93,97
32,315,347
47,695,742
313,39,352
385,986,1329
594,223,817
812,424,1236
537,449,986
923,786,1709
770,497,1239
638,191,829
972,953,1925
578,860,1438
907,817,1724
83,880,963
109,242,351
124,27,151
138,125,263
85,425,510
160,914,1074
145,589,734
212,736,948
818,148,966
869,603,1472
503,929,1432
627,557,1184
4,526,530
630,759,1389
454,856,1310
944,664,1608
662,159,821
894,345,1239
130,255,385
522,912,1434
312,391,703
873,357,1230
351,676,1027
308,807,1115
788,83,827
415,789,1204
686,76,762
679,970,1661
755,246,1001
798,74,872
512,592,1104
557,608,1165
37,969,1006
931,635,1566
514,399,913
750,909,1659
568,826,1394
456,60,516
682,919,1601
521,902,1423
710,484,1194
316,237,553
183,198,381
917,428,1345
53,62,115
856,354,1210
591,819,1410
839,175,1014
467,78,545
86,269,355
327,1000,1327
540,580,1120
68,903,971
999,371,1370
843,950,1793
33,796,829
589,618,1207
557,29,586
963,114,1077
753,516,1269
191,530,721
851,766,1617
22,586,608
677,523,1232
285,43,328
823,528,1351
557,104,661
276,651,927
744,448,1183
378,960,1338
778,500,1278
989,516,1505
428,283,711
647,13,660
847,974,1821
277,354,629
963,30,993
206,123,288
485,236,721
873,1000,1891
442,486,928
672,983,1655
107,524,674
908,152,1054
903,319,1222
158,602,760
7,800,807
371,42,413
71,976,1046
90,502,592
910,288,1198
119,728,847
350,491,841
452,967,1419
505,644,1149
88,285,373
250,725,975
999,657,1656
93,957,1050
719,344,1063
759,204,963
868,633,1501
572,945,1517
371,124,495
382,701,1083
995,534,1529
939,511,1450
881,533,1458
521,858,1379
994,1000,1994
667,583,1250
631,722,1353
174,736,910
525,467,992
276,187,463
976,611,1587
176,711,887
422,783,1205
152,737,889
631,611,1242
14,115,129
714,733,1446
723,538,1261
326,253,579
30,855,885
882,924,1806
684,155,807
669,492,1161
595,412,1007
220,11,214
405,411,803
182,600,782
852,442,1294
627,607,1234
213,441,654
979,908,1887
763,700,1463
26,925,951
866,306,1130
295,327,622
993,770,1763
14,625,639
178,312,490
325,681,1006
896,408,1304
239,125,364
12,977,989
676,579,1255
329,469,835
164,598,762
512,629,1141
748,658,1406
399,938,1337
439,126,580
157,424,581
468,909,1377
943,906,1849
754,69,823
564,154,718
861,873,1734
614,540,1154
485,455,940
598,531,1129
450,794,1244
283,705,988
479,646,1135
577,282,859
694,488,1182
203,585,788
283,83,366
239,422,695
343,388,731
747,883,1630
855,223,1078
6,742,748
701,953,1695
525,826,1351
59,766,825
2,256,258
526,915,1441
365,903,1268
134,409,543
70,469,539
865,860,1725
550,117,667
555,673,1228
306,305,611
419,828,1247
977,538,1515
453,305,758
255,130,385
215,234,449
101,702,803
462,524,986
579,777,1356
586,393,979
299,931,1230
273,548,821
161,915,1076
145,672,817
414,678,1092
144,301,445
733,389,1122
51,188,239
466,665,1131
923,457,1380
236,780,1016
229,500,688
964,735,1699
531,116,647
70,33,103
279,757,1036
358,883,1241
602,426,1028
561,627,1188
375,647,1022
756,395,1151
607,557,1164
407,16,423
633,755,1388
637,238,924
845,969,1814
114,596,758
116,728,844
176,54,230
264,583,847
258,275,533
630,131,761
993,964,1957
144,507,651
348,969,1317
263,547,810
286,929,1215
834,415,1249
752,941,1693
929,394,1323
706,488,1194
281,583,864
901,220,1121
583,478,1061
681,359,1040
205,32,237
860,241,1101
878,60,938
910,786,1696
989,500,1476
229,596,825
490,792,1282
576,964,1540
806,731,1537
515,672,1187
607,254,861
184,35,219
975,544,1552
973,358,1331
814,435,1249
571,804,1396
421,807,1228
366,997,1363
217,376,593
425,832,1257
537,531,1068
599,770,1397
71,535,606
367,7,374
477,914,1391
653,360,1013
383,195,578
929,142,1071
368,107,437
122,907,1029
807,23,830
13,616,629
832,840,1672
127,18,145
778,615,1393
850,920,1770
561,23,584
511,67,578
779,87,866
653,406,1059
115,146,261
922,505,1427
858,407,1265
670,170,840
912,669,1581
189,507,696
860,554,1414
662,960,1598
401,771,1167
527,419,946
163,824,987
249,228,477
62,625,708
117,600,717
392,520,912
443,345,837
61,792,853
645,562,1207
997,922,1919
958,609,1567
936,237,1125
887,440,1327
133,649,782
860,47,907
823,479,1302
968,949,1917
629,825,1454
666,941,1607
617,862,1479
562,312,874
627,110,737
799,496,1338
424,771,1212
59,357,416
623,54,677
497,787,1284
669,69,738
391,972,1383
232,909,1141
146,85,231
326,725,1020
646,256,902
106,25,131
70,886,956
961,987,1948
193,27,220
30,265,295
308,412,720
171,920,1091
993,962,1955
548,456,1004
557,432,989
196,8,185
88,662,750
739,870,1609
579,330,909
159,771,930
567,968,1535
997,874,1871
88,846,934
897,235,1132
194,493,687
505,523,1028
653,96,749
821,251,1072
802,483,1285
132,277,409
906,234,1108
553,484,1037
776,314,1090
221,469,690
637,409,1046
690,261,951
400,285,685
875,268,1143
817,760,1577
246,847,1093
756,19,786
145,851,977
136,435,546
287,820,1107
259,344,603
32,222,254
331,93,424
886,207,1064
595,483,1078
862,97,959
579,524,1103
958,689,1647
942,876,1818
903,565,1468
661,476,1137
527,89,616
812,188,1000
489,974,1463
832,994,1826
923,98,1021
418,477,895
289,929,1218
701,328,1029
349,749,1098
659,46,705
347,842,1189
340,733,1073
995,157,1152
474,88,562
516,360,876
805,461,1266
117,721,838
567,484,1051
313,186,499
497,310,807
81,719,800
660,363,1056
938,799,1737
489,253,742
35,264,299
725,613,1338
905,912,1817
677,903,1580
277,185,462
129,674,803
831,288,1119
126,948,1074
519,227,746
794,699,1493
195,968,1163
612,634,1246
313,997,1310
969,907,1876
868,684,1552
720,130,861
356,369,725
973,785,1760
99,545,644
968,8,976
779,478,1257
514,613,1127
268,638,906
830,21,851
863,843,1706
598,279,877
219,456,675
688,648,1336
435,171,606
977,534,1511
757,773,1530
763,784,1547
686,211,897
309,211,520
171,589,760
740,669,1409
641,105,746
666,711,1377
895,448,1343
84,244,328
350,743,1093
658,869,1527
229,333,562
281,25,306
401,462,863
420,129,549
240,586,826
340,11,365
209,673,882
578,522,1081
23,289,312
775,224,999
194,598,792
367,163,530
184,790,974
577,225,760
584,179,763
162,847,1009
927,147,1060
687,794,1481
34,786,820
191,92,283
771,5,786
890,962,1852
308,334,642
159,581,740
145,918,1106
18,157,175
980,425,1405
580,341,921
211,778,989
5,375,380
576,864,1440
150,488,638
790,157,947
771,149,920
84,732,816
397,56,453
386,497,903
332,288,620
101,377,478
463,395,894
873,25,895
755,891,1646
303,867,1170
597,515,1112
80,433,513
209,904,1113
119,74,176
806,798,1604
509,629,1138
126,699,825
859,103,962
989,531,1520
58,733,791
197,724,921
208,528,736
434,169,603
453,427,880
984,75,1059
807,270,1077
419,131,550
868,76,944
104,948,1052
398,662,1060
557,300,857
501,953,1454
469,53,540
120,743,863
912,63,975
816,504,1320
522,553,1075
672,691,1363
497,688,1185
670,684,1354
913,701,1569
289,868,1157
1000,249,1249
398,410,808
987,37,1024
289,657,946
937,610,1547
25,332,357
981,500,1481
853,213,1066
288,994,1282
34,715,749
630,103,733
644,772,1416
770,34,804
919,755,1658
96,67,163
555,461,1016
123,95,218
573,878,1451
311,848,1159
54,77,175
194,927,1121
948,885,1833
727,653,1380
830,487,1317
632,479,1111
632,626,1258
286,954,1240
113,672,785
488,205,693
520,385,905
73,883,956
5,316,321
559,232,791
255,645,900
677,929,1606
99,542,641
555,62,617
676,980,1656
233,101,334
636,976,1612
638,263,901
783,579,1362
684,268,952
308,424,732
717,232,949
613,226,839
397,74,471
320,750,1070
639,248,887
469,435,904
610,669,1279
400,872,1272
714,481,1195
633,502,1155
787,111,898
800,779,1579
882,87,969
536,190,726
807,945,1752
276,257,533
928,809,1737
290,222,512
825,640,1465
492,614,1106
679,497,1176
468,827,1268
319,207,526
255,972,1227
60,617,677
148,612,760
2,815,817
642,736,1378
815,154,969
199,853,1052
388,790,1178
909,692,1601
913,717,1630
91,126,217
622,947,1569
363,191,554
561,967,1528
664,229,893
926,820,1754
465,277,742
691,756,1447
255,338,593
805,58,863
538,272,810
167,781,948
883,348,1231
626,367,1019
39,75,114
126,515,641
537,562,1099
75,753,828
968,330,1298
871,89,960
180,700,880
193,720,913
940,656,1596
662,36,698
674,877,1551
20,784,804
668,220,888
789,108,897
100,212,312
634,839,1448
110,166,276
51,823,874
151,212,363
559,754,1313
78,54,132
510,673,1207
626,425,1051
664,88,752
982,838,1820
13,760,773
671,839,1510
969,534,1503
50,376,426
778,684,1462
20,144,164
187,350,537
922,837,1759
434,980,1414
944,751,1695
716,51,767
854,942,1796
409,820,1229
908,33,941
471,15,486
702,829,1489
956,360,1316
786,54,840
579,100,679
114,254,368
265,619,884
585,315,900
977,910,1887
768,135,903
606,819,1441
141,596,737
997,684,1681
748,688,1436
776,838,1614
310,463,773
141,457,594
920,634,1554
18,12,30
574,13,587
971,398,1393
876,140,1016
790,195,985
304,446,750
10,499,509
892,445,1337
618,487,1105
133,306,439
102,510,612
382,605,987
788,202,990
837,867,1704
857,695,1552
631,867,1538
127,168,295
15,648,663
413,120,555
37,746,810
143,615,746
523,221,752
621,586,1207
243,441,684
162,859,1021
354,228,582
563,744,1307
464,953,1417
610,865,1475
369,442,811
653,924,1577
496,97,593
549,787,1336
11,771,754
859,888,1747
87,634,721
103,135,233
343,254,597
447,181,602
561,224,785
646,886,1532
600,626,1226
859,531,1390
122,740,862
107,493,600
264,872,1136
995,653,1648
94,894,988
185,313,498
160,89,249
290,206,496
622,289,911
138,108,246
592,806,1398
758,337,1134
120,268,388
914,490,1404
126,28,154
683,376,1059
568,895,1463
838,588,1445
886,752,1631
554,380,934
360,297,657
942,383,1325
882,768,1650
787,66,853
732,498,1230
442,329,771
617,350,967
807,864,1671
278,664,942
997,118,1115
506,404,910
234,850,1084
533,742,1275
586,462,1048
255,72,327
249,809,1058
714,684,1398
872,454,1326
899,432,1339
105,45,150
907,563,1470
649,28,677
946,964,1910
705,988,1693
972,987,1959
588,93,681
119,64,183
345,711,1056
687,927,1614
878,64,942
221,85,306
867,978,1845
527,568,1095
362,525,865
666,178,856
784,67,851
763,612,1375
60,357,417
284,415,699
686,526,1212
406,141,547
551,68,619
744,84,828
453,31,484
167,140,307
874,940,1814
319,372,691
696,558,1254
680,651,1331
656,373,1029
981,815,1789
389,95,484
607,76,683
734,700,1434
362,968,1330
506,286,792
496,626,1122
378,696,1074
221,200,421
251,914,1165
685,145,830
826,181,1007
131,371,502
65,960,1025
468,952,1420
179,183,362
508,57,565
810,613,1423
378,937,1315
974,635,1609
244,777,1021
158,634,792
874,19,893
408,897,1305
864,989,1853
138,894,1032
405,658,1063
645,608,1253
877,897,1774
31,742,773
622,981,1634
738,50,788
615,445,1060
875,463,1338
852,265,1117
641,500,1141
298,489,787
588,612,1200
345,458,803
395,92,487
621,83,704
158,503,661
569,307,876
129,8,137
349,940,1292
570,315,885
799,85,884
602,447,1049
131,756,887
248,623,840
720,563,1283
434,360,794
877,365,1242
774,813,1587
337,79,416
330,651,981
483,947,1430
993,233,1226
82,834,916
840,395,1235
201,461,662
296,770,1067
970,100,1070
235,724,959
318,355,673
775,694,1469
879,723,1602
637,197,834
547,918,1495
784,280,1064
712,756,1468
700,221,921
826,526,1352
704,383,1087
695,775,1470
386,634,1020
247,463,710
359,304,663
456,563,981
893,455,1348
396,105,455
234,144,378
983,562,1545
716,919,1635
932,103,1084
251,147,398
442,705,1147
276,587,910
368,305,673
188,507,695
805,189,994
892,310,1202
406,931,1337
832,655,1487
711,698,1409
71,192,263
545,816,1361
196,252,448
397,72,469
343,657,1000
457,247,704
526,476,1007
182,921,1103
733,518,1251
592,722,1314
688,173,861
956,390,1346
683,76,759
336,130,466
335,242,577
347,500,847
218,550,768
410,541,951
719,590,1309
932,85,1017
465,747,1168
977,217,1194
267,622,889
433,705,1138
622,334,956
719,480,1199
528,333,861
671,921,1592
609,839,1448
384,292,676
37,799,799
284,242,526
840,898,1738
579,853,1432
538,463,1001
159,418,577
194,567,761
345,842,1187
388,602,990
238,299,537
423,218,641
5,60,65
640,344,984
332,585,959
46,222,268
532,926,1458
482,35,545
440,497,937
351,849,1200
393,943,1336
85,432,517
859,328,1187
783,709,1492
642,643,1285
874,831,1705
71,413,484
36,743,779
842,327,1169
237,652,889
489,94,583
685,7,692
116,490,606
72,451,523
244,111,355
712,993,1663
22,92,114
439,767,1206
469,605,1074
791,689,1480
12,102,114
907,205,1112
181,607,788
763,531,1294
43,730,773
640,82,722
40,809,849
264,710,974
853,107,960
961,192,1202
57,166,223
320,193,522
543,161,704
892,600,1492
641,630,1271
168,803,971
55,215,270
264,538,802
285,391,676
468,44,512
619,259,878
40,800,840
786,816,1602
284,657,941
393,946,1339
258,609,867
914,277,1191
919,577,1496
964,63,1027
233,932,1165
754,427,1181
227,636,863
3,808,811
662,132,794
694,547,1241
928,431,1359
786,793,1579
86,551,637
784,905,1663
940,600,1540
399,781,1180
675,421,1096
180,499,679
933,117,1050
139,136,275
222,307,529
425,249,674
826,254,1080
728,487,1215
902,357,1259
140,728,868
911,778,1689
758,86,844
432,415,847
495,324,819
910,132,1067
877,849,1726
407,69,476
110,583,693
304,894,1198
981,507,1498
973,883,1856
254,507,761
780,945,1725
507,802,1309
1,800,801
622,486,1108
642,643,1285
894,586,1480
48,965,1013
883,743,1626
590,115,705
968,865,1833
869,592,1470
738,305,1043
586,22,608
916,547,1472
552,434,986
812,271,1083
758,492,1250
407,851,1258
309,792,1101
984,10,994
524,964,1488
814,688,1502
744,800,1544
548,386,934
962,367,1329
93,89,182
344,949,1293
849,490,1339
163,15,178
59,987,1046
1,763,764
548,885,1433
500,150,650
22,149,156
595,829,1424
655,930,1574
501,493,994
239,900,1139
893,690,1583
624,20,644
521,643,1189
234,730,964
709,777,1486
193,92,285
42,962,1004
773,570,1384
320,881,1201
543,343,886
751,198,949
221,115,336
788,711,1499
693,75,768
190,85,275
404,349,753
44,340,384
433,669,1102
184,642,824
783,784,1567
165,379,530
882,141,1023
890,189,1079
763,651,1414
121,830,951
194,799,993
551,375,926
430,104,534
411,995,1431
252,752,1004
657,271,928
134,357,491
63,53,116
73,723,796
715,888,1603
501,366,867
255,132,387
938,822,1760
733,782,1515
638,227,872
76,786,862
796,359,1155
174,765,939
489,597,1086
220,307,527
45,112,157
500,447,947
792,921,1713
861,280,1141
176,636,812
832,797,1629
33,173,206
544,687,1231
9,265,304
133,747,880
637,739,1376
435,329,793
217,824,1041
71,568,639
301,852,1153
379,802,1181
332,195,527
21,876,897
964,721,1643
265,319,584
518,329,847
306,435,741
444,379,823
27,30,57
981,226,1207
441,166,607
624,632,1256
898,345,1243
634,544,1178
127,493,620
830,933,1763
607,496,1103
554,533,1087
517,869,1386
380,994,1374
157,389,546
385,391,742
329,956,1285
963,99,1062
449,575,1024
650,953,1603
502,944,1446
592,884,1476
558,340,898
803,694,1497
614,814,1428
335,913,1248
162,219,381
457,831,1288
617,257,874
223,875,1098
644,527,1171
709,657,1366
641,80,721
552,514,1066
822,324,1146
211,5,216
851,803,1654
106,794,900
923,375,1298
282,255,537
776,641,1411
845,549,1394
816,156,972
428,977,1405
799,737,1536
363,687,1050
298,708,1006
923,762,1685
760,760,1520
243,506,764
243,298,541
546,283,829
499,498,997
114,642,756
445,385,830
348,542,890
698,6,704
851,100,951
448,438,886
97,829,926
514,606,1120
332,900,1232
510,18,514
321,860,1181
563,99,662
402,941,1343
744,984,1728
685,921,1655
565,971,1536
352,111,463
486,670,1156
889,387,1276
105,143,248
355,444,799
306,679,985
406,796,1202
828,367,1195
193,248,441
56,525,581
155,929,1084
671,235,906
834,757,1591
979,574,1553
254,797,1051
472,334,806
850,491,1356
504,670,1174
484,597,1081
10,766,776
685,495,1180
179,808,987
12,522,496
194,571,812
890,773,1663
464,11,475
630,813,1441
169,439,608
979,585,1564
962,817,1779
228,669,897
520,126,646
282,311,622
339,485,824
577,477,1054
23,615,638
242,540,782
217,785,1002
670,505,1175
318,297,615
250,941,1191
663,351,1014
79,320,399
741,602,1343
987,168,1155
86,684,770
376,956,1332
334,957,1329
594,122,716
267,782,1049
92,298,390
582,190,772
288,872,1131
205,360,565
928,744,1672
179,650,829
535,262,797
202,517,719
862,505,1367
802,239,1041
698,87,785
412,35,447
264,721,985
510,304,814
870,610,1480
799,627,1426
120,534,654
163,353,541
520,570,1090
373,420,793
898,427,1325
889,660,1549
436,11,447
29,842,871
229,27,295
103,987,1090
887,32,919
660,122,782
203,138,341
183,458,641
272,78,350
887,880,1767
765,234,999
499,298,797
363,991,1354
62,472,534
524,154,678
508,706,1214
361,448,809
901,913,1814
144,366,510
284,559,843
786,136,922
181,60,241
423,422,845
262,617,879
237,844,1081
36,667,703
887,55,942
701,295,996
471,618,1089
801,932,1733
637,409,1046
149,292,441
199,833,1032
1,835,806
351,668,1059
797,368,1165
772,763,1535
417,470,887
472,497,977
51,131,182
19,18,37
629,57,686
619,656,1275
107,558,665
168,152,320
802,667,1469
480,854,1334
264,353,617
483,827,1310
236,937,1173
72,361,433
39,324,406
306,644,950
167,457,624
916,381,1297
201,333,525
177,437,614
711,609,1320
505,828,1333
529,839,1368
884,951,1835
729,720,1449
609,337,946
384,631,1015
591,362,961
933,462,1395
175,792,967
169,585,754
554,899,1453
511,477,988
610,664,1274
995,933,1928
98,464,562
864,776,1640
144,724,868
473,972,1445
216,949,1165
832,691,1523
705,897,1602
100,581,681
249,445,694
387,326,713
552,908,1460
722,245,967
842,619,1412
378,263,641
123,874,997
745,476,1221
361,560,921
77,957,1034
274,486,760
649,652,1301
380,641,1034
973,338,1261
441,241,682
239,221,460
835,618,1453
904,229,1133
620,239,859
706,168,874
408,481,889
147,300,447
590,615,1205
824,485,1309
933,36,969
623,675,1298
356,41,397
984,929,1913
159,964,1123
504,59,563
607,494,1101
427,448,875
938,723,1661
219,136,355
380,918,1335
729,628,1357
410,624,1034
54,397,451
646,889,1535
630,765,1395
207,852,1031
328,622,950
505,655,1160
630,755,1385
531,483,1014
666,727,1393
566,499,1065
754,86,840
604,542,1146
569,556,1125
339,386,725
6,950,956
340,961,1301
257,852,1112
253,177,430
59,521,580
529,366,895
981,987,1968
967,408,1375
346,313,642
881,742,1623
828,659,1487
640,829,1469
153,929,1082
32,613,645
901,986,1887
720,697,1417
225,826,1051
565,55,620
427,130,557
427,630,1057
773,995,1768
986,927,1913
286,24,310
693,404,1061
184,562,746
644,613,1257
318,958,1276
294,56,350
733,278,1011
21,511,532
628,74,702
524,787,1311
166,14,180
579,220,799
318,591,909
731,207,938
74,45,75
500,332,832
909,931,1840
71,947,1018
195,735,930
695,145,840
748,76,824
770,64,834
30,379,409
648,534,1182
680,570,1298
226,284,510
160,17,136
437,723,1160
20,843,863
579,959,1538
653,540,1193
437,297,734
142,767,909
434,746,1180
105,450,555
644,284,928
163,767,930
430,111,541
956,189,1145
658,893,1551
821,736,1557
675,591,1266
668,365,1033
433,480,913
408,457,865
23,810,833
490,689,1179
720,912,1632
31,439,470
510,683,1193
37,189,228
393,404,797
174,921,1095
790,49,830
225,182,407
997,6,1043
775,733,1511
667,70,737
549,858,1407
933,11,944
586,82,668
944,40,984
177,250,427
427,883,1310
439,190,629
680,53,733
427,630,1057
823,506,1329
942,829,1771
574,806,1380
210,520,730
950,67,1017
10,288,298
130,729,859
294,840,1134
547,645,1192
127,880,1007
575,513,1088
741,270,1028
308,119,427
613,589,1202
641,675,1316
17,663,680
837,501,1338
247,898,1168
129,826,955
329,409,738
449,974,1423
723,856,1607
821,770,1591
391,12,403
436,686,1122
403,432,858
688,308,996
62,183,245
565,307,872
597,716,1313
43,570,613
430,922,1352
173,632,805
914,323,1237
476,110,586
232,438,670
379,296,675
381,171,552
429,937,1366
811,557,1368
795,279,1074
599,333,932
679,770,1449
470,570,1040
2,310,312
637,142,779
813,422,1235
203,167,370
235,126,361
109,280,389
891,882,1773
781,213,994
743,28,771
457,981,1464
126,248,374
314,442,756
566,955,1521
420,51,471
254,287,541
62,602,664
887,461,1364
328,833,1161
61,551,599
411,541,952
950,776,1726
970,859,1829
95,36,131
235,731,966
498,834,1332
102,145,247
537,85,622
11,677,719
987,19,1006
96,957,1053
867,517,1384
229,23,208
364,706,1070
97,534,631
948,275,1223
307,944,1251
771,187,958
823,454,1277
164,976,1140
270,384,666
30,693,723
560,501,1061
610,408,1018
978,666,1644
178,781,959
909,578,1487
121,432,553
583,67,650
70,598,668
160,36,196
820,274,1094
304,673,977
459,970,1429
908,171,1079
849,713,1562
441,79,520
237,322,569
890,285,1175
