a,b,total
463,278,741
503,192,695
155,50,205
22,190,212
288,275,563
448,744,184
154,15,169
350,430,780
818,510,1328
474,713,1187
338,82,420
974,149,1123
794,401,1195
481,185,666
861,256,1117
848,12,860
786,731,1517
789,998,1787
755,34,789
752,789,1541
681,213,894
697,984,1681
330,162,492
43,762,805
533,125,658
653,305,958
908,53,961
223,996,1219
648,444,1092
171,813,984
122,405,527
9,992,1604
707,486,1193
158,380,538
254,161,415
702,633,1335
992,777,1769
61,364,425
718,549,1267
128,499,627
571,807,1378
355,824,1179
750,197,773
366,741,1107
920,40,960
448,572,1020
713,501,1214
191,556,747
749,479,1228
851,613,1464
567,164,731
158,460,618
269,554,823
0,794,794
388,751,1139
19,634,653
794,635,1429
738,64,802
551,838,1389
536,699,1235
564,157,721
330,419,749
113,98,211
68,44,112
132,182,314
206,109,315
101,32,133
856,397,1253
538,638,1176
262,50,312
620,735,1355
952,943,1895
503,950,1453
81,479,560
62,369,431
960,911,1871
377,813,1190
843,631,1474
41,751,792
311,79,390
983,531,1514
742,236,978
194,197,391
254,583,837
183,571,754
425,764,1189
653,590,1243
469,719,1188
904,106,1010
184,563,747
345,673,1018
614,453,1067
924,322,1246
332,865,1197
782,648,1430
743,331,1074
576,558,1134
784,563,1347
260,368,628
458,982,1440
743,35,778
610,16,626
911,309,454
219,876,1095
790,841,1631
842,282,1124
523,569,1092
585,158,743
471,364,835
271,375,646
255,238,493
307,94,401
582,939,1521
79,740,819
494,177,671
920,706,1626
839,929,1768
657,307,1655
590,390,980
57,943,1000
356,900,1256
426,952,1378
890,788,1678
668,869,1537
11,649,660
391,55,446
42,326,368
153,334,487
226,156,382
749,402,1151
770,609,1379
92,227,319
805,403,1208
344,84,428
763,50,813
268,87,355
444,792,1236
780,138,918
202,499,701
585,200,785
753,536,1289
73,272,345
331,701,1032
91,115,206
433,374,807
328,352,680
24,788,812
358,631,989
822,452,1274
451,45,496
239,204,443
159,775,934
87,115,202
248,971,1219
151,889,1040
294,14,308
823,113,936
482,23,505
757,550,1307
559,535,1094
561,494,1055
144,711,855
18,385,403
679,539,348
61,290,351
713,632,1345
476,670,1146
68,397,465
678,872,1550
368,885,1253
299,888,1187
395,236,631
520,1000,1520
925,323,1248
611,544,1155
203,512,715
574,948,1522
40,253,293
312,341,653
762,160,1401
360,363,723
241,513,754
63,640,703
396,911,1307
30,966,996
286,230,516
918,402,1320
89,747,836
983,694,1677
640,702,1342
246,586,832
993,319,1312
337,459,796
211,668,879
554,700,1254
883,141,1024
722,920,1642
138,440,578
999,788,1787
955,578,1533
325,69,394
971,736,1707
325,859,1184
744,30,774
901,996,1897
421,310,731
956,841,1797
955,756,1711
797,192,989
189,26,215
626,631,1257
580,627,1207
237,236,473
367,81,448
488,137,625
619,480,1099
382,188,570
503,485,988
197,231,1565
992,15,1007
973,422,1395
687,207,894
67,181,248
449,887,1336
704,332,1036
908,252,1160
794,42,836
844,389,1233
403,626,1029
585,608,1193
656,896,1552
39,533,572
467,846,1313
898,251,1149
405,752,793
528,783,1311
50,194,244
407,905,1312
847,292,1139
432,301,733
55,706,761
145,474,619
462,92,554
115,184,299
960,915,1875
138,402,540
461,25,486
604,918,1522
206,903,1109
256,331,587
928,728,1656
735,750,1485
116,723,839
371,87,458
393,744,1137
523,626,1149
387,563,950
786,174,960
579,892,1471
153,166,319
183,787,970
429,315,744
787,984,1771
641,185,826
134,983,1117
637,783,1420
469,509,978
556,826,1807
505,243,748
675,487,1162
452,81,533
6,250,256
284,634,918
839,845,1684
189,151,340
357,37,394
33,683,716
617,305,922
89,50,139
182,165,347
625,676,1301
609,586,1195
181,989,1170
592,368,960
95,786,881
377,919,1296
69,776,845
563,66,629
137,124,261
281,337,618
537,214,751
626,59,685
747,644,1391
89,495,584
619,956,1575
723,294,1017
868,324,1192
588,638,1226
132,629,761
532,746,1278
504,827,1331
624,238,862
198,1,199
476,640,1116
755,868,1623
630,424,1054
341,358,699
652,217,412
706,288,994
69,315,384
563,331,894
116,702,818
405,741,1146
983,29,1012
198,338,536
944,688,1632
485,816,278
493,159,652
913,885,1798
343,473,816
423,950,1373
855,533,1388
742,694,1436
548,19,567
701,339,1040
909,814,1723
992,152,1144
31,347,378
641,547,1188
584,620,1204
609,119,728
769,315,1084
322,726,847
88,508,596
380,462,842
309,221,530
179,114,293
38,796,834
94,454,548
818,494,1312
157,194,351
495,750,1245
317,794,1111
787,892,1679
960,528,1488
135,210,345
470,396,866
534,118,1909
45,703,748
892,89,981
910,47,957
784,674,1458
23,591,614
654,913,1567
205,197,402
545,326,871
687,120,807
161,280,441
981,637,1618
104,211,315
562,326,888
965,721,1686
587,250,837
318,627,945
553,454,1007
29,482,511
51,108,159
88,436,524
721,610,1331
644,856,1500
456,631,1087
340,837,1177
776,686,1462
80,997,1077
782,476,1258
95,832,927
715,479,1194
317,700,1017
784,476,1260
970,229,1199
917,631,1548
372,401,773
939,681,1620
881,903,1784
499,30,529
115,359,474
866,174,1040
356,618,974
520,105,625
731,815,1546
569,665,1234
309,545,854
604,423,1027
249,561,810
493,393,886
213,833,1046
441,803,1244
580,806,1386
710,241,951
685,79,764
728,587,1315
117,606,723
333,568,901
455,180,635
415,71,486
701,833,1534
839,388,1227
660,676,1336
222,836,1058
594,924,1518
829,0,829
676,152,828
298,399,697
457,200,657
898,324,1222
813,935,1748
940,965,1905
735,937,1672
91,596,1045
413,867,1280
301,63,364
562,991,1553
720,573,1293
367,112,479
886,31,917
719,604,1323
325,728,1053
390,445,835
678,177,855
192,568,760
946,368,1314
157,295,452
686,128,814
73,663,1477
906,498,1404
998,139,1137
657,825,1482
466,915,1381
618,952,1570
184,465,649
565,839,1404
363,231,594
619,7,626
867,748,1615
513,275,788
559,590,1149
38,581,619
377,115,492
984,707,1691
747,748,1495
879,768,1647
476,529,1005
911,624,1535
483,645,1128
983,684,1667
648,552,1200
319,627,946
351,547,898
480,464,944
480,587,1067
431,361,792
817,301,1118
36,711,747
767,311,1078
577,266,843
484,592,1076
52,672,724
828,755,1583
293,496,789
517,78,595
284,258,542
287,281,568
14,759,773
178,931,1109
154,674,828
827,179,1006
717,241,958
818,540,1358
351,86,437
609,956,1565
857,507,1364
422,788,1210
676,450,1126
171,215,386
862,353,1215
270,773,1043
53,171,224
487,308,795
971,770,1741
239,388,627
399,485,884
543,891,1434
295,949,1244
391,694,1085
542,699,1241
99,939,1038
362,979,1341
625,940,1565
279,343,622
821,100,921
598,400,998
691,767,1458
688,602,1290
532,345,877
184,320,504
688,8,696
12,421,433
106,701,807
224,742,966
197,34,188
58,961,1019
915,855,1770
613,653,1266
980,122,1102
619,133,752
782,921,1703
822,990,1812
113,712,825
301,478,779
77,654,731
283,787,1070
925,683,1608
331,263,594
75,283,358
391,397,788
61,264,325
271,182,453
503,950,1453
402,182,584
111,147,258
441,223,664
108,934,1042
265,105,144
585,745,1330
456,19,475
152,668,820
955,38,993
272,155,427
926,400,1326
527,724,1251
502,489,991
864,745,1609
804,71,875
3,393,396
837,798,1635
580,548,1128
367,341,708
410,56,466
981,662,1643
547,873,1420
82,861,943
784,296,1080
180,567,786
676,195,871
399,917,1316
705,367,1072
906,647,1553
194,143,51
737,607,1344
398,64,462
658,315,973
988,854,1842
989,16,114
345,806,1151
415,121,536
669,683,1352
962,694,1656
549,152,701
238,947,1185
753,144,897
19,482,501
633,46,679
664,133,1295
51,926,977
812,99,911
174,855,1029
837,837,1674
509,609,1118
225,64,289
436,345,781
755,694,1449
123,999,1122
558,140,698
987,812,1799
46,607,653
64,123,187
775,425,1200
378,566,944
249,947,1196
136,102,238
647,627,1274
161,16,177
82,6,1896
91,723,814
908,290,1198
826,811,1637
708,129,837
655,277,932
421,244,665
625,708,368
734,511,1245
90,642,732
308,356,664
571,241,812
542,1000,1542
370,883,1253
552,519,1071
788,641,1429
283,54,337
815,152,967
991,933,1924
180,163,343
44,55,99
291,214,505
342,631,973
776,464,1516
53,947,1000
161,804,1054
118,72,190
738,455,1193
333,429,762
693,919,1612
797,112,909
100,242,342
890,204,1094
225,75,300
496,55,551
148,221,369
465,182,647
139,468,607
647,367,1014
207,343,550
708,582,1290
139,113,252
469,428,897
351,225,576
618,160,778
653,975,1628
174,591,765
875,235,1110
877,534,1411
221,605,826
473,285,876
753,893,1646
335,444,779
913,949,1862
152,935,1087
5,427,432
41,481,522
516,34,550
403,490,893
713,841,1554
507,246,753
771,12,783
416,972,1388
367,302,669
92,16,108
312,165,477
878,584,1462
24,999,1023
790,141,931
415,189,604
379,641,1020
648,1,649
72,394,466
340,543,872
770,276,1046
627,555,1182
212,806,1018
635,901,1536
954,56,1010
931,690,1621
52,113,165
476,633,750
179,663,842
68,574,642
209,141,350
244,552,796
489,755,1244
594,892,1486
214,771,985
230,328,558
273,515,788
283,55,338
353,463,816
539,849,1388
726,544,1270
545,921,1466
635,376,1011
968,709,1677
963,904,1867
913,905,1818
82,400,482
295,981,1276
111,168,279
713,151,864
895,209,1104
642,23,665
992,698,1690
135,485,620
454,755,1209
298,193,491
892,821,1713
970,532,1502
421,592,1013
661,805,1466
607,681,1288
862,561,1423
311,580,891
808,313,1121
266,232,498
994,295,1289
48,151,199
466,979,1445
946,164,1110
292,186,478
859,725,1584
682,813,1495
243,119,648
588,129,717
378,188,566
724,35,759
352,151,503
552,998,1550
308,124,432
414,953,1367
148,970,1118
327,159,1512
559,999,1558
662,722,1384
917,296,1213
772,587,1359
818,578,1396
944,452,1396
115,749,864
41,142,183
119,315,1264
861,225,1086
94,334,428
656,199,855
227,800,1027
284,200,1102
869,456,1325
980,89,1069
403,199,602
617,619,1236
57,930,987
407,151,558
437,378,815
12,291,303
315,1000,1315
574,89,663
909,454,1363
425,822,1247
167,825,992
919,434,1353
424,142,566
612,88,700
310,486,796
537,343,880
983,604,1587
90,6,96
936,279,1215
569,473,1042
773,936,1709
190,852,1042
567,502,1692
309,854,1163
505,572,1077
229,27,256
157,268,425
655,854,1509
127,669,796
294,427,721
928,704,1632
29,122,151
504,993,1497
763,370,1133
579,446,1025
643,702,1345
710,837,1547
524,750,1274
865,265,1130
59,149,208
899,709,1608
167,54,221
429,651,1080
364,49,413
542,654,1196
526,198,724
187,783,970
770,171,941
893,323,1216
701,819,1520
701,714,1415
98,547,645
843,147,1061
288,381,669
421,348,769
166,104,270
515,226,741
814,918,1732
706,851,1557
866,544,1410
719,774,1493
427,471,898
119,838,957
17,491,508
707,371,1078
452,911,1363
535,781,1316
176,726,902
762,834,1596
131,877,1008
704,232,936
214,133,347
435,707,1142
114,79,991
775,441,220
33,812,845
607,60,667
930,259,617
683,10,693
801,126,927
210,601,811
189,686,875
92,149,241
964,284,1248
356,360,716
512,799,1311
247,517,764
101,839,940
14,541,555
196,987,1183
923,772,1695
996,742,1738
219,942,1161
724,486,1210
603,189,792
980,109,1089
363,388,751
526,233,759
779,321,1100
112,532,644
780,369,1149
570,739,671
505,118,623
467,614,1081
703,999,1702
231,567,798
875,438,1313
71,916,987
487,961,1448
183,13,196
503,688,1191
448,535,983
87,122,209
410,711,1121
104,759,863
172,66,238
203,346,549
864,413,1277
858,434,1292
285,783,1068
595,607,1202
808,820,1628
409,364,773
617,972,1589
496,523,1019
786,465,1251
256,501,757
643,965,1608
101,755,856
69,510,579
995,183,1178
695,334,1029
636,638,1274
78,676,754
785,504,1289
206,300,506
502,516,1018
351,828,1179
559,18,577
32,440,472
121,392,513
873,385,1258
36,33,69
675,881,1556
905,723,1628
441,137,578
398,499,897
582,691,1273
567,701,1268
481,487,968
160,518,678
269,506,775
386,631,1017
784,291,1075
28,604,1714
375,357,732
597,27,624
640,349,989
438,353,791
421,359,780
250,253,503
319,606,925
704,67,771
117,345,462
551,333,1347
884,432,1316
923,431,1354
712,480,1192
324,386,710
330,586,916
500,102,602
210,344,554
830,783,1613
170,629,799
992,446,1438
650,867,1517
77,860,937
219,294,513
304,587,891
231,639,870
94,734,828
97,606,703
68,580,648
486,437,923
814,78,892
309,516,825
443,679,1122
204,424,628
639,527,1166
781,560,1341
19,642,661
883,191,1074
218,676,894
760,960,1720
959,653,1612
629,873,1502
444,957,1401
641,61,702
373,473,846
154,764,918
307,864,1171
326,880,1206
65,649,714
422,273,695
661,164,825
615,241,856
116,153,269
251,816,1067
475,497,972
446,432,878
37,206,243
139,29,168
822,284,1106
180,659,839
986,739,1725
20,56,76
85,321,406
887,65,952
416,918,1334
673,906,1579
965,859,1824
143,241,384
752,512,1264
534,680,1214
972,793,1765
257,508,765
243,614,857
826,320,1146
598,754,1352
766,761,1527
433,223,656
179,219,398
450,418,868
603,57,660
383,716,1099
324,558,882
699,252,951
900,803,1703
371,486,857
841,315,1980
926,620,1514
678,818,1496
707,939,1646
245,259,504
316,654,970
371,924,1295
124,547,671
878,453,1331
931,983,1914
939,261,1200
958,842,1800
304,215,519
164,937,1101
324,900,1224
659,416,1075
280,887,1167
798,963,1761
754,422,1176
340,734,1074
940,839,1779
164,715,879
67,360,427
746,832,1578
334,464,798
780,53,833
188,645,833
656,139,409
643,312,955
84,113,197
528,730,1258
850,664,1514
867,608,1475
811,961,1772
489,894,1383
266,177,443
846,335,1181
203,86,289
186,402,588
967,854,1821
229,21,250
945,571,1516
641,234,875
997,473,1470
718,872,1590
410,632,1042
266,152,418
376,174,550
120,14,134
445,791,1236
464,847,1311
121,229,350
195,968,1163
800,272,1072
506,391,897
876,211,1087
843,289,1132
193,428,621
811,149,1999
268,241,509
929,254,1183
700,662,1362
10,480,490
331,997,1328
703,217,920
725,433,1158
262,74,336
60,53,113
240,482,722
620,961,1581
821,612,1433
829,46,1033
634,390,1024
404,687,1091
991,913,1904
594,183,777
515,504,1019
898,479,1377
324,727,1051
145,266,411
45,130,175
996,854,1850
369,948,1317
924,897,1821
849,779,1628
529,320,849
168,323,491
503,782,1285
569,873,1442
651,817,1468
193,152,345
187,36,223
167,722,889
118,916,1034
41,452,493
726,574,1300
504,115,619
887,151,1038
95,208,303
184,854,1038
520,842,1362
912,679,1591
597,994,1570
584,184,768
78,252,330
693,96,789
26,291,317
696,124,820
604,951,1555
857,331,1188
83,471,554
675,491,1166
978,275,1253
5,337,342
671,637,1308
332,970,1302
751,928,1679
582,132,714
49,820,869
330,817,1147
72,560,632
390,94,484
182,245,427
886,408,1294
872,213,1085
798,412,1210
770,977,1747
123,305,428
442,753,1195
317,925,1242
134,367,501
852,376,1228
501,456,957
487,274,761
433,92,525
830,377,1207
444,645,1089
41,525,566
474,692,1166
702,730,1432
507,539,1046
537,85,622
447,81,528
489,307,796
130,700,830
861,254,1115
302,582,156
939,46,985
522,435,957
475,676,1151
832,259,1091
599,83,682
16,116,132
473,183,656
863,402,852
897,721,1618
601,741,1342
686,460,1146
271,349,620
892,829,1721
189,80,269
618,265,883
108,444,552
5,404,409
175,671,846
708,414,1122
988,762,1750
498,310,808
997,631,1628
689,986,1675
404,823,1227
128,138,229
835,16,851
192,879,985
664,148,812
446,862,1308
808,551,1359
308,788,1096
485,432,340
924,156,1080
455,986,1441
20,880,900
248,206,454
849,853,1702
341,8,349
867,730,1597
425,868,1293
592,610,1202
297,37,334
497,525,1022
626,957,1583
836,888,1724
731,62,793
432,590,1022
65,274,339
427,910,1337
506,637,1143
355,459,814
21,165,186
196,480,676
237,519,756
930,701,1631
616,873,1489
672,479,1151
300,740,1040
982,426,1408
689,668,1357
815,483,1298
864,165,1029
289,707,996
683,494,1177
204,160,364
103,812,915
505,310,815
570,48,618
367,902,1269
693,162,855
880,915,1795
826,65,891
116,632,748
575,229,804
348,803,1151
47,788,835
273,917,1190
706,894,1600
685,106,791
948,968,1916
468,985,1453
113,998,1111
625,624,1249
970,104,1074
42,519,561
645,120,765
932,370,1302
299,725,1024
518,510,1028
101,157,258
342,838,1180
868,206,1074
425,787,1212
251,854,1105
349,293,642
87,272,359
772,424,1196
680,251,931
771,542,1313
233,141,374
423,940,1363
469,974,1443
813,698,1511
30,453,483
10,734,744
966,71,1037
322,411,733
168,444,612
777,37,814
656,154,810
59,646,705
818,676,1494
996,302,1298
907,697,1604
894,311,1205
321,931,1252
846,286,1132
625,942,1567
413,456,869
908,557,1465
633,667,1300
353,908,1261
664,414,1078
902,308,1210
550,342,892
736,757,1493
532,553,1085
95,523,618
533,348,881
163,23,1631
552,606,1158
852,792,1644
432,517,949
61,861,922
642,519,1161
48,774,822
127,459,586
754,5,759
241,824,1065
595,579,1174
960,642,1602
864,609,1473
306,291,597
834,732,1566
143,731,874
755,253,1008
528,596,1124
797,369,1166
150,728,878
421,83,504
435,909,1344
219,456,675
693,538,1231
572,531,1103
892,270,1162
651,433,1084
705,953,1658
749,996,1745
166,147,313
496,728,1224
991,721,1712
541,120,661
466,484,321
966,572,1538
974,121,1095
418,112,530
585,296,313
120,380,500
383,310,693
28,810,838
802,603,1405
959,915,1874
290,220,510
757,500,1121
357,69,426
427,492,919
579,463,1042
800,386,1186
737,853,1590
780,141,921
471,779,1250
459,152,611
333,91,424
680,638,1318
238,921,1159
553,46,599
911,453,1364
661,90,751
724,25,749
815,790,1605
574,660,1234
572,87,659
633,554,1187
54,980,1034
193,768,961
918,19,937
958,544,1502
19,281,300
251,849,1100
908,593,1501
826,546,1372
411,603,1765
956,23,979
184,424,1081
324,391,715
117,101,218
292,147,439
786,91,877
975,417,1392
60,629,689
185,27,212
305,399,704
145,422,567
264,384,648
921,123,1044
245,770,1015
242,504,746
516,394,910
275,62,337
566,416,982
29,417,446
935,907,1134
986,600,1586
252,781,1033
804,128,932
416,456,872
651,512,1163
991,145,1136
172,800,972
975,433,1408
568,462,1664
475,984,1459
296,668,964
0,61,61
493,279,772
859,696,1555
359,862,1221
599,860,1459
46,165,211
576,71,647
404,715,1119
143,742,885
286,899,1185
625,516,1141
325,905,1230
350,650,1000
770,724,1494
251,678,929
349,215,564
613,336,1416
136,661,797
623,487,19
688,177,865
916,713,1629
780,402,1182
806,897,1703
79,551,1704
835,687,1522
126,361,487
385,847,1232
396,181,577
831,713,1544
127,473,600
197,455,1521
20,776,796
943,726,1669
92,835,927
310,827,1137
239,505,744
37,287,324
720,723,1443
7,200,207
653,405,1058
284,582,866
174,565,739
756,579,1335
617,578,1195
602,131,733
130,265,395
876,233,1109
746,801,1547
868,694,1986
709,694,1403
258,697,955
464,2,466
656,689,1345
53,874,927
442,864,1306
280,124,404
477,507,984
777,44,821
229,48,277
430,545,975
5,401,406
83,901,984
25,755,780
706,433,1139
939,255,1194
337,318,655
640,99,884
827,24,851
641,957,1598
256,253,509
244,981,1225
55,841,896
813,242,1055
794,614,1408
782,97,879
592,127,719
62,938,641
911,868,1779
801,130,931
821,452,1273
625,641,1266
104,693,797
53,301,354
411,98,509
420,238,658
806,675,1481
464,393,857
438,901,1339
103,347,450
691,801,1059
336,601,937
105,12,117
69,607,676
198,926,1124
652,521,1173
431,492,923
455,190,645
816,45,861
319,598,917
982,667,1649
318,597,915
794,149,943
316,617,933
377,993,1201
673,694,1367
243,519,762
572,879,1451
352,200,552
655,930,1585
70,349,419
487,711,1198
478,614,1092
872,592,1464
343,630,973
336,166,502
897,808,1705
507,224,731
654,228,882
477,638,1115
492,752,1244
834,339,1173
384,210,594
845,6,851
75,366,235
145,297,442
646,599,1245
368,44,412
203,202,405
224,906,1130
178,347,525
251,182,433
180,863,1043
103,21,124
140,388,528
906,113,1019
215,312,527
378,828,1206
175,963,1138
818,638,1456
899,728,1627
147,903,1050
813,194,1007
387,711,1098
613,439,1052
250,943,1261
601,193,794
301,808,1109
253,54,307
286,893,1179
520,991,1511
500,214,714
803,481,1284
629,66,695
397,769,1166
769,521,1290
531,475,1006
729,382,1111
494,732,1226
485,274,759
653,943,1596
665,37,702
916,207,1123
240,405,645
435,910,1345
160,957,1117
260,563,823
769,86,855
531,360,891
42,476,518
344,436,780
442,418,860
509,324,833
25,183,208
271,660,931
923,84,1007
513,525,1038
80,804,884
233,100,333
368,39,407
341,201,542
256,309,565
786,699,1485
195,722,917
141,875,1016
757,556,1313
8,788,796
842,354,1196
413,968,1381
593,775,1368
483,669,1152
779,974,1753
407,233,640
767,214,981
528,601,1129
775,479,1254
472,348,820
320,866,1186
788,964,1752
214,449,663
571,30,601
591,894,1485
965,755,1659
674,854,1528
230,429,659
770,413,1183
707,550,1257
601,23,624
32,944,976
1000,975,1975
581,644,1225
935,622,1557
400,390,790
400,65,465
192,486,678
583,985,1568
916,311,1227
106,691,797
32,846,878
500,27,527
71,933,1004
290,210,500
675,536,1211
58,377,435
175,334,509
420,400,820
113,132,245
489,760,1249
978,925,1903
133,891,1024
442,837,1279
486,162,648
961,317,1278
514,733,1247
282,206,292
456,65,521
619,826,1445
336,932,1268
502,471,973
40,754,794
661,902,1563
355,717,1072
811,304,1115
843,829,1672
425,255,680
632,750,1382
393,932,1325
715,582,1297
715,968,1813
891,161,1052
643,550,1193
938,68,1006
739,923,1662
505,421,926
566,124,690
78,773,851
784,798,1582
461,168,629
518,45,563
74,654,728
767,472,1239
763,408,1171
406,38,234
726,939,1665
686,766,1452
472,69,541
672,248,920
448,143,591
285,861,1146
858,18,876
181,301,482
759,400,1159
687,781,559
157,451,608
221,731,1382
545,221,766
48,856,904
535,656,1191
675,918,1593
706,315,1021
612,4,772
785,206,991
383,930,1313
93,16,109
14,345,359
696,685,1381
981,903,1884
855,850,1705
741,171,1049
110,835,945
575,641,1216
212,956,1168
961,438,1399
218,108,326
177,15,192
323,12,335
469,225,694
834,285,1119
377,44,421
223,420,643
613,511,1124
104,729,833
944,870,1814
257,982,1239
332,646,978
694,946,1640
710,136,846
650,779,1429
325,871,1196
69,343,1867
599,459,1058
655,759,1414
601,721,1322
238,21,259
918,127,1045
755,438,1193
634,81,715
383,510,893
155,384,539
38,243,281
612,968,1580
898,336,1234
325,659,984
40,533,573
424,663,1087
768,24,792
750,339,1089
210,552,762
939,680,1619
820,703,1523
227,622,849
533,329,862
644,6,650
503,71,574
53,649,702
960,209,1169
177,606,783
814,954,1768
519,80,599
478,318,796
202,250,452
620,254,874
590,459,1049
206,278,484
492,81,573
368,407,775
482,451,933
624,752,1376
159,839,998
493,20,513
437,874,1311
928,943,1871
550,156,706
179,263,442
313,464,777
575,620,1195
341,139,480
200,158,358
4,13,17
747,742,1489
414,947,1361
404,993,1397
393,501,894
602,72,674
39,943,982
954,579,1533
781,446,1227
789,935,1724
356,521,877
650,705,1355
59,666,725
434,753,1187
489,35,524
370,646,1016
28,714,742
151,267,418
966,697,1663
253,616,869
678,861,1539
119,789,908
728,938,1666
723,600,1323
82,530,612
897,433,1330
437,258,695
512,990,1502
907,391,1298
751,421,1172
946,745,1691
111,651,762
816,352,1168
275,766,1041
766,407,1173
6,172,178
1,99,100
713,427,1140
670,295,965
174,180,354
720,137,857
186,514,700
461,580,1041
190,205,395
187,828,1015
265,923,1188
451,641,1092
111,889,1000
81,300,381
127,283,410
30,599,629
496,688,1184
9,62,71
978,7,985
808,42,850
534,810,1234
532,985,1517
954,497,1451
345,618,963
379,698,1077
322,836,1158
369,681,1050
625,58,683
894,338,1232
3,467,470
411,742,1153
947,142,251
889,543,1432
716,769,1485
377,462,839
674,890,1564
423,676,1099
653,980,1633
329,17,346
894,46,940
753,333,1086
239,621,860
756,627,1383
356,438,794
964,953,1917
674,877,1551
102,751,853
621,199,820
890,532,1422
803,877,1680
32,130,162
89,308,397
561,895,1456
917,456,1373
493,678,1171
249,216,465
966,675,1641
108,445,553
29,164,193
334,924,1258
287,225,512
681,487,1168
686,126,812
944,547,1491
503,92,595
340,892,1232
589,784,1373
66,659,725
932,734,1666
742,390,1132
803,575,1378
447,827,1274
265,118,383
114,91,205
606,959,1565
964,118,1082
130,873,1003
389,590,979
318,63,381
194,867,1061
433,327,760
816,695,1511
129,532,661
604,227,831
9,551,560
323,148,471
303,857,1160
696,466,1162
290,149,439
869,820,1689
35,613,648
514,705,1219
868,723,1591
646,848,1494
298,721,1019
60,829,889
847,733,1580
750,956,1706
717,753,1470
886,794,1680
499,744,1243
834,675,1509
163,22,185
345,432,777
356,775,1131
73,540,613
289,713,1002
717,876,1593
99,134,233
810,594,1404
55,870,925
311,468,779
591,140,731
494,298,792
214,223,437
200,752,952
370,743,1113
104,694,798
879,151,1030
437,695,1132
948,57,1005
997,485,1482
53,120,173
665,346,1011
993,152,1145
413,250,493
406,500,906
610,977,1587
763,384,1147
814,686,1500
796,474,1270
665,391,1056
668,455,1123
122,119,241
500,656,1156
521,230,1173
586,491,1077
763,96,859
185,393,578
660,719,1379
585,128,713
65,730,795
814,550,1364
832,717,1138
837,549,1386
542,500,1042
857,598,1455
838,809,1647
771,771,1542
674,919,1593
882,613,1495
5,568,573
321,125,1177
211,668,879
575,262,837
35,86,121
518,305,823
557,175,732
967,673,615
47,968,1015
926,801,1727
546,455,1001
502,711,1213
932,360,1292
522,214,736
678,839,75
192,145,337
852,220,1072
616,565,1181
367,284,651
637,432,1069
261,266,527
925,167,1092
85,967,1052
435,962,1397
548,208,756
750,275,1025
713,661,1374
381,577,958
840,523,1363
429,841,1270
806,444,1250
987,618,1605
276,127,403
700,561,1261
337,655,992
931,341,1272
149,889,1038
280,10,290
992,227,1219
107,801,908
179,539,718
313,602,915
501,97,598
717,585,1302
564,277,841
918,49,967
969,769,1738
353,825,1178
991,807,1798
608,903,1511
488,606,1094
9,703,712
159,673,832
387,581,968
54,940,994
997,379,1376
255,694,949
723,468,1191
362,817,1179
293,282,575
533,964,1497
945,833,1778
650,878,1528
312,416,728
865,92,957
78,747,825
95,169,264
86,761,847
951,504,1455
10,985,995
693,520,1213
139,491,630
701,693,1394
714,127,841
631,194,825
763,7,770
719,547,1266
250,756,1006
942,843,1785
967,540,1507
43,621,664
172,690,862
782,536,1318
179,76,255
136,526,662
52,432,484
174,382,556
346,935,1281
851,552,1403
878,120,998
494,300,794
2,755,757
403,222,625
951,955,1906
527,845,1372
957,474,1431
868,499,1367
6,630,636
305,362,667
358,911,1269
411,363,882
503,202,705
526,920,1446
126,935,1061
159,787,946
231,481,712
306,373,679
186,549,735
111,449,560
449,165,614
765,444,1809
891,726,1617
194,291,808
431,761,1192
32,164,196
971,490,1461
272,121,393
563,507,1070
731,130,861
782,799,1581
513,743,1256
863,845,1708
112,980,1092
21,129,150
512,13,525
242,53,295
350,439,789
755,8,763
296,288,584
779,439,1218
156,746,902
255,287,542
884,269,1153
253,682,935
203,485,688
829,105,934
514,625,1139
875,605,1480
152,234,386
410,39,449
196,951,1147
18,631,649
885,52,937
537,313,850
236,227,463
490,62,552
659,52,711
275,372,647
359,728,1087
327,916,83
0,53,53
329,217,546
286,930,1216
441,189,630
503,372,875
114,99,213
699,565,1264
133,339,472
829,370,1199
603,541,1144
243,665,908
598,393,991
108,133,241
616,123,1983
934,905,1839
195,197,392
947,101,1048
559,633,1192
742,485,1227
206,546,752
44,130,174
563,728,1291
898,777,1675
928,573,1501
916,374,1290
734,120,854
69,494,563
953,975,1928
22,170,192
713,990,1703
46,978,1024
813,995,1808
758,834,1592
701,545,1246
994,76,1070
768,521,1289
798,399,1197
278,211,489
163,585,748
713,9,722
809,525,1334
724,737,1461
310,872,1182
725,274,999
175,229,487
298,40,338
964,904,1868
136,276,412
52,657,709
843,215,1058
1,664,665
619,995,1614
85,969,1054
562,270,832
418,919,1337
332,58,390
10,843,853
748,988,1736
262,994,1346
888,796,1684
597,108,705
704,391,1095
263,890,1153
618,564,1182
452,225,677
208,595,803
878,770,1648
456,237,693
444,377,821
490,95,585
470,189,659
180,193,373
965,746,1711
288,21,309
906,181,1087
703,622,1325
146,73,219
465,930,1395
412,102,514
140,744,884
12,617,629
393,21,414
13,781,794
957,44,1001
788,85,873
961,642,1603
811,989,1621
108,555,663
346,873,1219
207,142,349
576,913,1489
167,314,481
158,249,407
708,273,981
126,21,147
105,557,662
